time, ALLSE, ALLKE, ALLWK, ALLFD
2.970261266455054283e-04, 2.496612548828125000e+01, 9.301585693359375000e+02, 1.451395996093750000e+03, 4.592229614257812500e+02
3.001096483785659075e-04, 2.476157569885253906e+01, 9.285910034179687500e+02, 1.451395996093750000e+03, 4.609110717773437500e+02
3.030786756426095963e-04, 2.442050552368164062e+01, 9.271774291992187500e+02, 1.451395996093750000e+03, 4.624822082519531250e+02
3.060474409721791744e-04, 2.411852455139160156e+01, 9.258604736328125000e+02, 1.451395996093750000e+03, 4.640818786621093750e+02
3.090154787059873343e-04, 2.479186630249023438e+01, 9.237069702148437500e+02, 1.451395996093750000e+03, 4.656137695312500000e+02
3.120972833130508661e-04, 2.468780899047851562e+01, 9.222106323242187500e+02, 1.451395996093750000e+03, 4.670841674804687500e+02
3.150671545881778002e-04, 2.384024620056152344e+01, 9.213997802734375000e+02, 1.451395996093750000e+03, 4.685894775390625000e+02
3.180369385518133640e-04, 2.355179977416992188e+01, 9.201057128906250000e+02, 1.451395996093750000e+03, 4.700331115722656250e+02
3.210063732694834471e-04, 2.295528030395507812e+01, 9.191436157226562500e+02, 1.451395996093750000e+03, 4.714448852539062500e+02
3.240894584450870752e-04, 2.308859634399414062e+01, 9.176510009765625000e+02, 1.451395996093750000e+03, 4.728204956054687500e+02
3.270572342444211245e-04, 2.288468551635742188e+01, 9.164927978515625000e+02, 1.451395996093750000e+03, 4.741408691406250000e+02
3.300249227322638035e-04, 2.275036239624023438e+01, 9.151699218750000000e+02, 1.451395996093750000e+03, 4.755309448242187500e+02
3.331078332848846912e-04, 2.196615219116210938e+01, 9.142766113281250000e+02, 1.451395996093750000e+03, 4.769901428222656250e+02
3.360747359693050385e-04, 2.211017608642578125e+01, 9.125243530273437500e+02, 1.451395996093750000e+03, 4.784482116699218750e+02
3.390405036043375731e-04, 2.240157508850097656e+01, 9.108773803710937500e+02, 1.451395996093750000e+03, 4.797085876464843750e+02
3.420049906708300114e-04, 2.236726570129394531e+01, 9.095807495117187500e+02, 1.451395996093750000e+03, 4.809576416015625000e+02
3.450836229603737593e-04, 2.205548667907714844e+01, 9.085210571289062500e+02, 1.451395996093750000e+03, 4.822734069824218750e+02
3.480493905954062939e-04, 2.232631492614746094e+01, 9.068905029296875000e+02, 1.451395996093750000e+03, 4.835645751953125000e+02
3.510151291266083717e-04, 2.223823547363281250e+01, 9.055877685546875000e+02, 1.451395996093750000e+03, 4.848859252929687500e+02
3.540946636348962784e-04, 2.182593536376953125e+01, 9.045373535156250000e+02, 1.451395996093750000e+03, 4.862174072265625000e+02
3.570598200894892216e-04, 2.166139602661132812e+01, 9.034196777343750000e+02, 1.451395996093750000e+03, 4.874468994140625000e+02
3.600244817789644003e-04, 2.154761505126953125e+01, 9.023490600585937500e+02, 1.451395996093750000e+03, 4.885613403320312500e+02
