time, ALLSE, ALLKE, ALLWK, ALLFD
1.290012878598645329e-04, 1.184915283203125000e+03, 1.068570190429687500e+03, 2.397359863281250000e+03, 9.338501739501953125e+01
1.320378651143983006e-04, 1.220034179687500000e+03, 1.100391479492187500e+03, 2.469253662109375000e+03, 9.834016418457031250e+01
1.350752863800153136e-04, 1.255571289062500000e+03, 1.131584472656250000e+03, 2.540584472656250000e+03, 1.031641159057617188e+02
1.380002795485779643e-04, 1.289420898437500000e+03, 1.161697875976562500e+03, 2.609031494140625000e+03, 1.074603958129882812e+02
1.410362310707569122e-04, 1.323720703125000000e+03, 1.193810791015625000e+03, 2.680037841796875000e+03, 1.121925354003906250e+02
1.440713240299373865e-04, 1.356294067382812500e+03, 1.226961425781250000e+03, 2.750614746093750000e+03, 1.170623931884765625e+02
1.471077557653188705e-04, 1.387294799804687500e+03, 1.259964965820312500e+03, 2.819884033203125000e+03, 1.226119537353515625e+02
1.500337093602865934e-04, 1.415705200195312500e+03, 1.291824462890625000e+03, 2.885552978515625000e+03, 1.283240814208984375e+02
1.530727458884939551e-04, 1.443540649414062500e+03, 1.325151611328125000e+03, 2.952560302734375000e+03, 1.340952606201171875e+02
1.560004166094586253e-04, 1.468413208007812500e+03, 1.357500488281250000e+03, 3.015569824218750000e+03, 1.397748718261718750e+02
1.590401370776817203e-04, 1.492157958984375000e+03, 1.392353027343750000e+03, 3.080203613281250000e+03, 1.457802276611328125e+02
1.620783586986362934e-04, 1.513598388671875000e+03, 1.429111328125000000e+03, 3.144712158203125000e+03, 1.515272369384765625e+02
1.650047488510608673e-04, 1.533302124023437500e+03, 1.466252807617187500e+03, 3.207235839843750000e+03, 1.569181365966796875e+02
1.680438726907595992e-04, 1.553302856445312500e+03, 1.505983764648437500e+03, 3.273196044921875000e+03, 1.621965179443359375e+02
1.710797951091080904e-04, 1.572366699218750000e+03, 1.548147460937500000e+03, 3.340675537109375000e+03, 1.678413238525390625e+02
1.740003208396956325e-04, 1.589399536132812500e+03, 1.591510620117187500e+03, 3.406839843750000000e+03, 1.735102844238281250e+02
1.770283706719055772e-04, 1.604756591796875000e+03, 1.638373535156250000e+03, 3.476284423828125000e+03, 1.791183166503906250e+02
