time, ALLSE, ALLKE, ALLWK, ALLFD
0.000000000000000000e+00, 9.336902499198913574e-01, 0.000000000000000000e+00, 2.377859354019165039e+00, 2.184229344129562378e-01
3.088278162977076136e-06, 7.756443619728088379e-01, 9.653620421886444092e-02, 2.377859354019165039e+00, 2.251938581466674805e-01
6.062295597075717524e-06, 7.519488930702209473e-01, 9.637347608804702759e-02, 2.377859354019165039e+00, 2.262495458126068115e-01
9.036327355715911835e-06, 7.388850450515747070e-01, 1.032886877655982971e-01, 2.377859354019165039e+00, 2.285594642162322998e-01
1.201010309159755707e-05, 2.778537034988403320e+00, 6.601024866104125977e-01, 5.798292160034179688e+00, 2.298715561628341675e-01
1.509854610048932955e-05, 1.165172576904296875e+01, 3.193220376968383789e+00, 1.876503372192382812e+01, 2.321864515542984009e-01
1.806941509130410850e-05, 2.519116973876953125e+01, 7.829203128814697266e+00, 3.963470840454101562e+01, 2.908647954463958740e-01
2.103785300278104842e-05, 4.291475677490234375e+01, 1.587372112274169922e+01, 6.828349304199218750e+01, 5.437521934509277344e-01
2.400278208369854838e-05, 6.363083267211914062e+01, 2.879122543334960938e+01, 1.039884796142578125e+02, 1.037810921669006348e+00
2.707686144276522100e-05, 8.568676757812500000e+01, 4.623780059814453125e+01, 1.458700103759765625e+02, 1.920327782630920410e+00
3.003084384545218199e-05, 1.077311706542968750e+02, 6.535974121093750000e+01, 1.892234039306640625e+02, 2.936216831207275391e+00
3.308843588456511497e-05, 1.325326995849609375e+02, 8.492174530029296875e+01, 2.358000946044921875e+02, 4.089804649353027344e+00
3.602584183681756258e-05, 1.585364532470703125e+02, 1.023479156494140625e+02, 2.814378051757812500e+02, 5.252179145812988281e+00
3.907107020495459437e-05, 1.867359008789062500e+02, 1.196465606689453125e+02, 3.291943969726562500e+02, 6.492958068847656250e+00
4.200018520350567997e-05, 2.143486328125000000e+02, 1.368612823486328125e+02, 3.758624877929687500e+02, 7.586204051971435547e+00
4.503947639022953808e-05, 2.427697753906250000e+02, 1.556500854492187500e+02, 4.252512207031250000e+02, 8.818696975708007812e+00
4.807532968698069453e-05, 2.713966064453125000e+02, 1.747842407226562500e+02, 4.762222595214843750e+02, 1.020617771148681641e+01
5.110861457069404423e-05, 3.032987365722656250e+02, 1.929382324218750000e+02, 5.295269775390625000e+02, 1.170401859283447266e+01
