time, ALLSE, ALLKE, ALLWK, ALLFD
7.509518036385998130e-05, 5.668385620117187500e+02, 3.485650939941406250e+02, 9.893139038085937500e+02, 3.801113510131835938e+01
7.804190681781619787e-05, 5.943410644531250000e+02, 3.747841186523437500e+02, 1.047241943359375000e+03, 4.113559722900390625e+01
8.110200724331662059e-05, 6.200562744140625000e+02, 4.053339843750000000e+02, 1.109601562500000000e+03, 4.456659317016601562e+01
8.404816617257893085e-05, 6.452534790039062500e+02, 4.382474670410156250e+02, 1.173717285156250000e+03, 4.833027267456054688e+01
8.710756083019077778e-05, 6.718768310546875000e+02, 4.753357849121093750e+02, 1.244505004882812500e+03, 5.287456130981445312e+01
9.005302126752212644e-05, 6.975145263671875000e+02, 5.128451538085937500e+02, 1.316243530273437500e+03, 5.750258255004882812e+01
9.311113535659387708e-05, 7.262765502929687500e+02, 5.552199096679687500e+02, 1.394848754882812500e+03, 6.267216491699218750e+01
9.605464583728462458e-05, 7.534174804687500000e+02, 5.998986206054687500e+02, 1.473293334960937500e+03, 6.796595001220703125e+01
9.911038796417415142e-05, 7.794613647460937500e+02, 6.507935180664062500e+02, 1.556841064453125000e+03, 7.327790069580078125e+01
1.020522031467407942e-04, 8.021694946289062500e+02, 7.036613769531250000e+02, 1.638297729492187500e+03, 7.838164520263671875e+01
1.051032741088420153e-04, 8.239509887695312500e+02, 7.607122192382812500e+02, 1.722443847656250000e+03, 8.346958923339843750e+01
1.080385554814711213e-04, 8.437341918945312500e+02, 8.158364868164062500e+02, 1.801567260742187500e+03, 8.827487945556640625e+01
1.110834346036426723e-04, 8.620054931640625000e+02, 8.729514160156250000e+02, 1.881162353515625000e+03, 9.303108215332031250e+01
1.140120875788852572e-04, 8.770162353515625000e+02, 9.273262329101562500e+02, 1.954797363281250000e+03, 9.760190582275390625e+01
1.170522373286075890e-04, 8.915560913085937500e+02, 9.820822753906250000e+02, 2.028520141601562500e+03, 1.023288116455078125e+02
