time, ALLSE, ALLKE, ALLWK, ALLFD
7.809108501533046365e-05, 3.073141784667968750e+02, 4.236430969238281250e+02, 8.685736694335937500e+02, 9.080126953125000000e+01
8.101029379758983850e-05, 3.223018188476562500e+02, 4.424933166503906250e+02, 9.107957763671875000e+02, 9.975862121582031250e+01
8.403229003306478262e-05, 3.355084228515625000e+02, 4.603291625976562500e+02, 9.493884277343750000e+02, 1.084689331054687500e+02
8.704637730261310935e-05, 3.467907409667968750e+02, 4.753171386718750000e+02, 9.833435668945312500e+02, 1.167875518798828125e+02
9.005842730402946472e-05, 3.574328918457031250e+02, 4.891824951171875000e+02, 1.016907897949218750e+03, 1.245933761596679688e+02
9.307271830039098859e-05, 3.676708984375000000e+02, 5.059058227539062500e+02, 1.053341186523437500e+03, 1.331238708496093750e+02
9.608916298020631075e-05, 3.768411254882812500e+02, 5.243258666992187500e+02, 1.093163452148437500e+03, 1.420994262695312500e+02
9.910677181323990226e-05, 3.863852539062500000e+02, 5.474379272460937500e+02, 1.136760253906250000e+03, 1.509657745361328125e+02
1.020098934532143176e-04, 3.930933227539062500e+02, 5.749033813476562500e+02, 1.179858886718750000e+03, 1.595449676513671875e+02
1.050266291713342071e-04, 4.001002807617187500e+02, 6.027092285156250000e+02, 1.223182250976562500e+03, 1.680777740478515625e+02
1.080414222087711096e-04, 4.092651977539062500e+02, 6.249555053710937500e+02, 1.263910034179687500e+03, 1.773126678466796875e+02
1.110545927076600492e-04, 4.173969116210937500e+02, 6.450368041992187500e+02, 1.302786376953125000e+03, 1.863232879638671875e+02
1.140664608101360500e-04, 4.219020690917968750e+02, 6.670029907226562500e+02, 1.341574829101562500e+03, 1.951316986083984375e+02
1.170803589047864079e-04, 4.268648681640625000e+02, 6.913736572265625000e+02, 1.380418823242187500e+03, 2.026683654785156250e+02
1.200937695102766156e-04, 4.318975524902343750e+02, 7.147001342773437500e+02, 1.418471679687500000e+03, 2.111248321533203125e+02
1.231087517226114869e-04, 4.413720397949218750e+02, 7.349942016601562500e+02, 1.455139404296875000e+03, 2.187606506347656250e+02
1.260109565919265151e-04, 4.513688354492187500e+02, 7.527855834960937500e+02, 1.488135131835937500e+03, 2.258362426757812500e+02
1.290235668420791626e-04, 4.590368957519531250e+02, 7.701260375976562500e+02, 1.521652709960937500e+03, 2.339374847412109375e+02
1.320375013165175915e-04, 4.664805603027343750e+02, 7.883414306640625000e+02, 1.554631958007812500e+03, 2.414527282714843750e+02
1.350497186649590731e-04, 4.741361083984375000e+02, 8.054000854492187500e+02, 1.585878784179687500e+03, 2.479607391357421875e+02
1.380603061988949776e-04, 4.803851623535156250e+02, 8.221644287109375000e+02, 1.615614013671875000e+03, 2.539153137207031250e+02
1.410715485690161586e-04, 4.830760192871093750e+02, 8.407662963867187500e+02, 1.644538085937500000e+03, 2.607882690429687500e+02
1.440834021195769310e-04, 4.849448852539062500e+02, 8.588944702148437500e+02, 1.673291625976562500e+03, 2.684084472656250000e+02
1.470955612603574991e-04, 4.852306213378906250e+02, 8.782622070312500000e+02, 1.702836425781250000e+03, 2.765867614746093750e+02
1.501086371717974544e-04, 4.855090637207031250e+02, 9.001060791015625000e+02, 1.733888183593750000e+03, 2.842932128906250000e+02
1.530108565930277109e-04, 4.865526123046875000e+02, 9.235965576171875000e+02, 1.764631103515625000e+03, 2.909396362304687500e+02
1.560235396027565002e-04, 4.880332641601562500e+02, 9.479007568359375000e+02, 1.795982055664062500e+03, 2.975049438476562500e+02
1.590336323715746403e-04, 4.880455017089843750e+02, 9.712580566406250000e+02, 1.826143066406250000e+03, 3.048860778808593750e+02
1.620411785552278161e-04, 4.868069458007812500e+02, 9.955625610351562500e+02, 1.856534301757812500e+03, 3.129060058593750000e+02
1.650440681260079145e-04, 4.843988342285156250e+02, 1.019324340820312500e+03, 1.887218017578125000e+03, 3.220584106445312500e+02
1.680474233580753207e-04, 4.823045654296875000e+02, 1.042680175781250000e+03, 1.918052246093750000e+03, 3.308211975097656250e+02
1.710533542791381478e-04, 4.785530700683593750e+02, 1.068494384765625000e+03, 1.949602172851562500e+03, 3.391579895019531250e+02
1.740629813866689801e-04, 4.739458007812500000e+02, 1.095849853515625000e+03, 1.982158081054687500e+03, 3.479373779296875000e+02
1.770726375980302691e-04, 4.721622619628906250e+02, 1.123636596679687500e+03, 2.015118408203125000e+03, 3.563002014160156250e+02
1.800761674530804157e-04, 4.711822509765625000e+02, 1.147903320312500000e+03, 2.046489990234375000e+03, 3.648409423828125000e+02
1.830841938499361277e-04, 4.678029174804687500e+02, 1.172599609375000000e+03, 2.077020996093750000e+03, 3.736113281250000000e+02
1.860958727775141597e-04, 4.634664001464843750e+02, 1.198283325195312500e+03, 2.107875976562500000e+03, 3.821072692871093750e+02
1.891088759293779731e-04, 4.596099548339843750e+02, 1.225301513671875000e+03, 2.139375732421875000e+03, 3.909136962890625000e+02
1.920111244544386864e-04, 4.560957946777343750e+02, 1.251413818359375000e+03, 2.169726074218750000e+03, 3.988498535156250000e+02
1.950248843058943748e-04, 4.551262512207031250e+02, 1.277357055664062500e+03, 2.200168457031250000e+03, 4.068004760742187500e+02
1.980386441573500633e-04, 4.504635925292968750e+02, 1.302104003906250000e+03, 2.229645751953125000e+03, 4.155326232910156250e+02
2.010538737522438169e-04, 4.442199401855468750e+02, 1.325927734375000000e+03, 2.257990722656250000e+03, 4.243574218750000000e+02
2.040694234892725945e-04, 4.393726806640625000e+02, 1.349508300781250000e+03, 2.285029296875000000e+03, 4.333401794433593750e+02
2.070862974505871534e-04, 4.339429016113281250e+02, 1.372299072265625000e+03, 2.311488525390625000e+03, 4.414453125000000000e+02
2.101067220792174339e-04, 4.288613281250000000e+02, 1.394721557617187500e+03, 2.337218994140625000e+03, 4.490605773925781250e+02
2.130156353814527392e-04, 4.239041442871093750e+02, 1.415421997070312500e+03, 2.360976074218750000e+03, 4.569731140136718750e+02
2.160369476769119501e-04, 4.189668273925781250e+02, 1.434587280273437500e+03, 2.384266357421875000e+03, 4.654488525390625000e+02
2.190597297158092260e-04, 4.149960327148437500e+02, 1.453796508789062500e+03, 2.406209472656250000e+03, 4.741726379394531250e+02
2.220840542577207088e-04, 4.099435729980468750e+02, 1.472621948242187500e+03, 2.427352294921875000e+03, 4.825714721679687500e+02
