time, ALLSE, ALLKE, ALLWK, ALLFD
6.905420013936236501e-05, 3.664138793945312500e+02, 3.202358703613281250e+02, 7.785219116210937500e+02, 5.239612960815429688e+01
7.209353498183190823e-05, 3.856340332031250000e+02, 3.532667236328125000e+02, 8.351156616210937500e+02, 5.696575927734375000e+01
7.501815707655623555e-05, 4.009375305175781250e+02, 3.884434814453125000e+02, 8.888165283203125000e+02, 6.156104278564453125e+01
7.805450150044634938e-05, 4.116592712402343750e+02, 4.264474182128906250e+02, 9.435110473632812500e+02, 6.621426391601562500e+01
8.108986367005854845e-05, 4.236929016113281250e+02, 4.637333984375000000e+02, 9.975095825195312500e+02, 7.091689300537109375e+01
8.401305967709049582e-05, 4.354771728515625000e+02, 4.976935424804687500e+02, 1.048307250976562500e+03, 7.575000762939453125e+01
8.704918582225218415e-05, 4.482337951660156250e+02, 5.306221313476562500e+02, 1.099800292968750000e+03, 8.132230377197265625e+01
9.008488268591463566e-05, 4.598885192871093750e+02, 5.633398437500000000e+02, 1.150832153320312500e+03, 8.703446197509765625e+01
9.300893725594505668e-05, 4.704815063476562500e+02, 5.965589599609375000e+02, 1.200676635742187500e+03, 9.237264251708984375e+01
9.604756633052602410e-05, 4.802883300781250000e+02, 6.330623168945312500e+02, 1.253570556640625000e+03, 9.793489837646484375e+01
9.908807987812906504e-05, 4.885518188476562500e+02, 6.721380004882812500e+02, 1.307822631835937500e+03, 1.036776733398437500e+02
1.020184354274533689e-04, 4.940498046875000000e+02, 7.134523315429687500e+02, 1.361477294921875000e+03, 1.097377777099609375e+02
1.050638675224035978e-04, 4.969240417480468750e+02, 7.603927612304687500e+02, 1.418026367187500000e+03, 1.161706390380859375e+02
1.081117079593241215e-04, 4.973331909179687500e+02, 8.091528320312500000e+02, 1.474060913085937500e+03, 1.227979660034179688e+02
1.110440352931618690e-04, 4.965157165527343750e+02, 8.559487304687500000e+02, 1.527187500000000000e+03, 1.294977264404296875e+02
1.140864915214478970e-04, 4.979868469238281250e+02, 9.019416503906250000e+02, 1.581044067382812500e+03, 1.366584320068359375e+02
